DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,age,decision,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EE,2014,0,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EE,2015,0,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EE,2016,0,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EE,2017,0,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EE,2018,0,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EE,2019,0,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EE,2020,5,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EE,2021,5,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EE,2022,0,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EL,2011,195,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EL,2012,185,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EL,2013,325,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EL,2014,805,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EL,2015,1355,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EL,2016,770,
ESTAT:TPS00193(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,GENCONV,EL,2017,510,
