DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EE,2015,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EE,2016,10,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EE,2017,20,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EE,2018,30,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EE,2019,5,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EE,2020,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EE,2021,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EE,2022,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EL,2008,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EL,2009,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EL,2010,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EL,2011,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EL,2012,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EL,2013,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EL,2014,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EL,2015,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EL,2016,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EL,2017,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EL,2018,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EL,2019,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EL,2020,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EL,2021,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EL,2022,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,ES,2009,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,ES,2010,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,ES,2011,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,ES,2012,80,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,ES,2013,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,ES,2014,125,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,ES,2015,0,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,ES,2016,375,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,ES,2017,1490,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,ES,2018,830,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,ES,2019,810,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,ES,2020,365,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,ES,2021,535,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,ES,2022,1110,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EU27_2020,2013,3935,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EU27_2020,2014,5765,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EU27_2020,2015,6310,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EU27_2020,2016,8475,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EU27_2020,2017,17940,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EU27_2020,2018,19025,
ESTAT:TPS00195(1.0),21/09/23 14:19:00,A,PER,EXT_EU27_2020,T,TOTAL,EU27_2020,2019,22100,
